"""","昭和30年_1955_国勢調査_人","昭和35年_1960_国勢調査_人","昭和40年_1965_国勢調査_人","昭和45年_1970_国勢調査_人","昭和50年_1975_国勢調査_人","昭和55年_1980_国勢調査_人","昭和60年_1985_国勢調査_人"
" 総 数","1006819.0","1002191.0","1026975.0","1042736.0","1072118.0","1087012.0","1087206.0"
"","","","","","","",""
" 和歌山市","265244.0","285155.0","328657.0","365267.0","389717.0","400802.0","401352.0"
" 海 南 市","53228.0","52532.0","52519.0","53370.0","53250.0","52530.0","50779.0"
" 橋 本 市","32449.0","32015.0","32807.0","33334.0","35324.0","35919.0","40483.0"
" 有 田 市","35736.0","35068.0","33530.0","34257.0","34865.0","35683.0","35401.0"
" 御 坊 市","31908.0","30700.0","30040.0","30573.0","30272.0","30398.0","30450.0"
" 田 辺 市","58611.0","60431.0","62276.0","63368.0","66999.0","69575.0","70835.0"
" 新 宮 市","38543.0","39114.0","40051.0","38808.0","39023.0","39993.0","38231.0"
"","","","","","","",""
" 下 津 町","18593.0","18540.0","18327.0","17830.0","17876.0","17412.0","16439.0"
" 野 上 町","10723.0","10128.0","9688.0","9333.0","9526.0","9969.0","9779.0"
" 美 里 町","11020.0","9351.0","8130.0","6815.0","6161.0","5656.0","5258.0"
"","","","","","","",""
" 打 田 町","13415.0","12519.0","12634.0","12116.0","12259.0","12934.0","13576.0"
" 粉 河 町","19722.0","19228.0","19123.0","19292.0","18882.0","17094.0","16811.0"
" 那 賀 町","12190.0","11343.0","11103.0","10856.0","10422.0","10189.0","9705.0"
" 桃 山 町","10013.0","9737.0","9546.0","9292.0","9457.0","9176.0","9052.0"
" 貴志川町","10551.0","10099.0","9910.0","9761.0","10259.0","12825.0","15287.0"
" 岩 出 町","13025.0","12810.0","14402.0","15980.0","20300.0","24125.0","28066.0"
"","","","","","","",""
" かつらぎ町","26257.0","24810.0","24630.0","24322.0","24121.0","23695.0","23231.0"
" 高野口町","15028.0","15294.0","15952.0","16413.0","16844.0","16697.0","16272.0"
" 九度山町","8954.0","8544.0","8379.0","8091.0","7941.0","7693.0","7395.0"
" 高 野 町","10202.0","9324.0","9166.0","7604.0","7521.0","7236.0","7054.0"
" 花 園 村","1786.0","1601.0","1312.0","936.0","877.0","801.0","693.0"
"","","","","","","",""
" 湯 浅 町","16983.0","17094.0","17002.0","16833.0","16768.0","17037.0","17171.0"
" 広 川 町","9468.0","8951.0","9039.0","8920.0","8988.0","9178.0","9003.0"
" 吉 備 町","13126.0","12812.0","12407.0","12122.0","12336.0","13077.0","13277.0"
" 金 屋 町","15149.0","13860.0","12776.0","12031.0","11457.0","11166.0","10871.0"
" 清 水 町","13254.0","11377.0","9870.0","8325.0","7518.0","6701.0","6174.0"
"","","","","","","",""
" 美 浜 町","8655.0","8550.0","8841.0","8741.0","8753.0","8832.0","9042.0"
" 日 高 町","8779.0","8177.0","7566.0","7119.0","7023.0","6973.0","6975.0"
" 由 良 町","10355.0","9521.0","9064.0","8258.0","9273.0","9468.0","9273.0"
" 川 辺 町","7785.0","7257.0","6612.0","6266.0","6300.0","6341.0","6616.0"
" 中 津 村","4681.0","4617.0","3703.0","3148.0","2809.0","2729.0","2649.0"
" 美 山 村","6911.0","6004.0","5235.0","4196.0","4034.0","3204.0","2741.0"
" 龍 神 村","8458.0","8269.0","7451.0","6363.0","5861.0","5353.0","5110.0"
" 南部川村","8001.0","7537.0","7171.0","6729.0","6568.0","6640.0","6609.0"
" 南 部 町","9368.0","9075.0","8855.0","8623.0","8767.0","8750.0","8652.0"
" 印 南 町","13720.0","12655.0","11712.0","10953.0","10801.0","10767.0","10619.0"
"","","","","","","",""
" 白 浜 町","14664.0","16631.0","19726.0","19770.0","20019.0","19602.0","19341.0"
" 中辺路町","8213.0","7941.0","6606.0","5439.0","4832.0","4636.0","4343.0"
" 大 塔 村","7673.0","6046.0","5006.0","4030.0","3786.0","3512.0","3351.0"
" 上富田町","9868.0","9545.0","9660.0","9985.0","10636.0","11835.0","12702.0"
" 日置川町","10239.0","9076.0","7974.0","6842.0","6598.0","6400.0","5923.0"
" すさみ町","11510.0","10704.0","9262.0","8222.0","7800.0","7299.0","6777.0"
" 串 本 町","23069.0","22000.0","20252.0","18905.0","18997.0","18852.0","18241.0"
"","","","","","","",""
" 那智勝浦町","26645.0","25775.0","24889.0","23871.0","23596.0","23006.0","22248.0"
" 太 地 町","4591.0","4556.0","4605.0","4566.0","4433.0","4539.0","4314.0"
" 古 座 町","10427.0","9652.0","9013.0","8236.0","7766.0","7404.0","6907.0"
" 古座川町","10108.0","8599.0","7121.0","6078.0","5365.0","5030.0","4584.0"
" 熊野川町","6070.0","6552.0","4234.0","3265.0","2725.0","2435.0","2234.0"
" 本 宮 町","10276.0","9591.0","7825.0","6147.0","5398.0","5054.0","4624.0"
" 北 山 村","1575.0","1424.0","1316.0","1135.0","1015.0","790.0","686.0"
